database,table_name,col,ordinal
iba,word_strong,word_id,0
iba,word_strong,strong,1
iba,strong_verse,strong,0
iba,strong_verse,verse_id,1
iba,span,verse_id,0
iba,span,position,1
iba,candidate_seed,lemma_key,0
iba,candidate_seed,strong_variant,1
iba,candidate_seed,sense_seq,2
iba,passage,book,0
iba,passage,start_chapter,1
iba,passage,start_verse,2
iba,passage,end_chapter,3
iba,passage,end_verse,4
iba,verse_lexical,span_id,0
iba,verse_lexical,code_ordinal,1
iba,verse_hib,verse_id,0
iba,verse_hib,hib_id,1
iba,phenomenon,passage_id,0
iba,phenomenon,verse_id,1
iba,phenomenon,hib_id,2
iba,phenomenon,ordinal,3
iba,passage_linkage,passage_id,0
iba,passage_linkage,ordinal,1
iba,passage_insufficiency,passage_id,0
iba,passage_insufficiency,ordinal,1
iba,passage_emergent_question,passage_id,0
iba,passage_emergent_question,ordinal,1
iba,passage_validation_note,passage_id,0
iba,passage_validation_note,ordinal,1
iba,cfg_method_rule,step,0
iba,cfg_method_rule,rule_key,1
iba,cfg_quality_check,step,0
iba,cfg_quality_check,check_key,1
iba,cfg_unique,database,0
iba,cfg_unique,table_name,1
iba,cfg_unique,col,2
iba,cfg_write_grant,writer,0
iba,cfg_write_grant,table_name,1
iba,cfg_write_grant,database,2
iba,cfg_table,database,0
iba,cfg_table,name,1
iba,cfg_column,database,0
iba,cfg_column,table_name,1
iba,cfg_column,name,2
iba,cfg_step,work_package,0
iba,cfg_step,step,1
iba,cfg_enum,name,0
iba,cfg_enum,value,1
iba,cfg_candidate_rule,kind,0
iba,cfg_candidate_rule,value,1
iba,cfg_on_fail,step,0
iba,cfg_on_fail,condition,1
iba,cfg_status_flow,entity,0
iba,cfg_status_flow,status,1
iba,cfg_report_section,step,0
iba,cfg_report_section,section_key,1
iba,cfg_report_csv_table,step,0
iba,cfg_report_csv_table,table_name,1
iba,cfg_index,table_name,0
iba,cfg_index,name,1
iba,cfg_index,col,2
bible_research,prose_section_dimension_link,prose_section_id,0
bible_research,prose_section_dimension_link,dimension_id,1
bible_research,prose_section_dimension_link,link_type,2
bible_research,prose_section_finding_link,prose_section_id,0
bible_research,prose_section_finding_link,finding_id,1
bible_research,prose_section_finding_link,link_type,2
bible_research,mti_term_flags,mti_term_id,0
bible_research,mti_term_flags,flag_id,1
bible_research,prose_section_fts_idx,segid,0
bible_research,prose_section_fts_idx,term,1
bible_research,segment_unit_verse,unit_id,0
bible_research,segment_unit_verse,verse_id,1
bible_research,ve_verification_sample,ve_nr,0
bible_research,ve_verification_sample,verse_span_id,1
bible_research,wa_term_phase2_flags,term_inv_id,0
bible_research,wa_term_phase2_flags,flag_id,1
iba,escalation_history,escalation_id,0
iba,escalation_history,version,1
iba,cfg_escalation_transition,shape,
iba,cfg_escalation_transition,priority,
iba,cfg_escalation_requirement,action,
iba,cfg_escalation_requirement,field,
iba,cfg_escalation_requirement,check_kind,
iba,content_index,key_type,0
iba,content_index,key_value,1
iba,content_index,file_path,2
iba,content_index,line_number,3
iba,cfg_table_purpose,table_name,0
iba,cfg_table_purpose,kind,1
