table_name,kind,text
cfg_api,purpose,"Every named STEP REST API call this app is coded to use -- route template, input, and what it returns -- so the app never hardcodes a STEP URL inline."
cfg_api,success,"Every row is actually called somewhere in the codebase; every STEP call the codebase makes has a row here; each route resolves correctly against the real, live STEP server."
cfg_book_order,purpose,"The canonical 66-book Bible ordering (book code + ordinal), the single source every book-order-dependent report/index reads instead of hardcoding it."
cfg_book_order,success,"Exactly 66 rows, ordinals form an unbroken 0-65 sequence with no duplicates, and every book code matches a real live verse.osisId prefix in both directions."
cfg_connection,purpose,"The live STEP servers connection details (base_url, tagged version, timeout) -- so the app never hardcodes where/how it talks to STEP."
cfg_connection,success,"Every key is actually read (stepapi.py); the values genuinely work against the real, currently-running STEP server."
cfg_content_index_exclude,purpose,Folder/file patterns to exclude from content-index builds -- so a saturating file (e.g. generated prose) does not swamp search results with noise.
cfg_content_index_exclude,success,"Every pattern actually corresponds to a real, still-relevant reason to exclude; correctly matches content_index own dormant/active state."
cfg_content_index_size_override,purpose,"Per-pattern size-limit overrides for content-index builds, for files that legitimately need a different cap than the default."
cfg_content_index_size_override,success,"Any row present corresponds to a real, still-needed override; 0 rows is correct when content_index itself is dormant."
cfg_meta,purpose,Small bookkeeping table about the config store itself -- its version label and which database it describes.
cfg_meta,success,"config_version is genuinely read (Cfg.config_version, the live fingerprint mechanism); every key present is actually consumed somewhere -- found live 2026-08-30: the database key is not, a minor orphan."
cfg_candidate_rule,purpose,Strong-number accept/reject/synonym rules for the (now retired) candidate-discovery system.
cfg_candidate_rule,success,"Consistent with its documented retirement -- all rows correctly inactive, matching retract_candidate_system.py; not a live input to anything."
cfg_index,purpose,Every generic secondary SQLite index this app declares for its data tables -- table+column set the builder must create.
cfg_index,success,Every registered index actually exists live with matching columns; every table it names is real; found+fixed live 2026-08-30: escalation_history was missing its registered index entirely.
cfg_on_fail,purpose,"Per step+condition, what path (ok/pause/stop/etc) a run takes on that outcome, and what message to show -- so failure routing is data, not a hardcoded if/elif chain."
cfg_on_fail,success,Every active row names a real active step; every path value is a real member of the path vocabulary; inactive rows correspond to conditions the code genuinely no longer produces.
