action,field,condition_key,message,active,check_kind
raise,comment,always,comment is required at Raise -- minimum: what the item is about,1,field_required
raise,short_description,always,short_description must pass the title-shape check (escalation #759),1,field_required
approved,resolution,always,next_action='approved' requires resolution to be filled in (plan v3 sec3),1,field_required
reject,state,always,"next_action='reject' requires state='withdraw' or 'supersede', chosen explicitly",1,field_required
revise,tried,claude_revising,tried is required when Claude sets next_action=revise on its own item -- describe what was attempted and why it didn't resolve it,1,field_required
ready_for_approval,resolution,always,"next_action='ready_for_approval' requires resolution to be filled in -- the readiness check, re-confirmed at 'approved' (D25).",1,field_required
update,state,has_content,an update carrying comment/context/tried cannot leave the item at state='raised' -- move it off raised first (e.g. -State in-progress) before attaching work (D26).,1,not_raised_with_content
raise,resolution_kind,always,resolution_kind is required at Raise -- decision_required or self_correctable (cfg_enum resolution_kind). See cfg_behaviour_rule 'decision-points-are-terminal-not-inline'.,1,field_required
approved,next_action,always,"decision_required items must pass through ready_for_approval before approved -- no shortcut, regardless of who is setting it (escalation #851/#865)",1,requires_prior_ready_for_approval_if_decision_required
noted,next_action,always,decision_required items must pass through ready_for_approval before noted -- no shortcut (escalation #851: noted reaches the same closed state as approved but previously had zero requirement checking at all),1,requires_prior_ready_for_approval_if_decision_required
