table_name,kind,text
cfg_api,purpose,"Every named STEP REST API call this app is coded to use -- route template, input, and what it returns -- so the app never hardcodes a STEP URL inline."
cfg_api,success,"Every row is actually called somewhere in the codebase; every STEP call the codebase makes has a row here; each route resolves correctly against the real, live STEP server."
cfg_book_order,purpose,"The canonical 66-book Bible ordering (book code + ordinal), the single source every book-order-dependent report/index reads instead of hardcoding it."
cfg_book_order,success,"Exactly 66 rows, ordinals form an unbroken 0-65 sequence with no duplicates, and every book code matches a real live verse.osisId prefix in both directions."
cfg_connection,purpose,"The live STEP servers connection details (base_url, tagged version, timeout) -- so the app never hardcodes where/how it talks to STEP."
cfg_connection,success,"Every key is actually read (stepapi.py); the values genuinely work against the real, currently-running STEP server."
cfg_content_index_exclude,purpose,Folder/file patterns to exclude from content-index builds -- so a saturating file (e.g. generated prose) does not swamp search results with noise.
cfg_content_index_exclude,success,"Every pattern actually corresponds to a real, still-relevant reason to exclude; correctly matches content_index own dormant/active state."
cfg_content_index_size_override,purpose,"Per-pattern size-limit overrides for content-index builds, for files that legitimately need a different cap than the default."
cfg_content_index_size_override,success,"Any row present corresponds to a real, still-needed override; 0 rows is correct when content_index itself is dormant."
