strongNumber,stepGloss,stepTransliteration,language,count,stem_key
H2319G,New [Gate],cha.dash,Hebrew,2,newg
H2588,vault,cha.nut,Hebrew,1,vaul
H2777,Potsherd [Gate],cha.ra.sut,Hebrew,4,pots
H2788,parched,cha.rer,Hebrew,1,parc
H3010,field,ya.gev,Hebrew,1,fiel
H3561,bun,kav.van,Hebrew,2,bun
H3619,basket,ke.luv,Hebrew,3,bask
H3623,betrothal,ke.lu.lah,Hebrew,1,betr
H3628,prison,ke.li,Hebrew,8,pris
H3965,granary,ma.a.vus,Hebrew,1,gran
H4418,rag,me.lach,Hebrew,2,rag
H4423,mortar,me.let,Hebrew,1,mort
H4428H,`the king`,ham.me.lekh,Hebrew,3,thek
H4647,bellow,map.pu.ach,Hebrew,1,bell
H4661,war-club,map.pets,Hebrew,1,warc
H4684,neighing,mats.ha.lah,Hebrew,2,neig
H5170B,snorting,na.cha.rah,Hebrew,1,snor
H5441,thicket,se.vokh,Hebrew,1,thic
H5499,rag,se.cha.vah,Hebrew,5,rag
H5552,branch,sal.sil.lah,Hebrew,1,bran
H5562,"Samgar, Nebu-sar-sekim",sam.gar ne.vo,Hebrew,2,samg
H5569,rough,sa.mar,Hebrew,1,roug
H5630,armor,sir.yon,Hebrew,2,armo
H5950,deed,a.li.liy.yah,Hebrew,1,deed
H6176,juniper,a.ro.er,Hebrew,2,juni
H6547S,Pharaoh [Hophra],par.oh,Hebrew,1,phar
H6641,variegated,tsa.vu.a,Hebrew,1,vari
H6719,hunter,tsay.yad,Hebrew,1,hunt
H6731B,feather,tsits,Hebrew,1,feat
H6773,parched,tsim.ah,Hebrew,1,parc
H7002,incense,qit.ter,Hebrew,1,ince
H7943,drunkenness,shik.ka.ron,Hebrew,3,drun
H8161,stamping,sha.a.tah,Hebrew,1,stam
H8182,disgusting,sho.ar,Hebrew,1,disg
H8237,pavilion,shaph.rir,Hebrew,4,pavi
H8284,vine-row,sha.rah,Hebrew,1,vine
H8310,"Samgar, Nebu-sar-sekim",sar.se.khim,Hebrew,2,samg
H8350,vermilion,sha.sher,Hebrew,2,verm
H8564,signpost,tam.rur,Hebrew,1,sign
H8595,delusion,te.e.tu.im,Hebrew,2,delu
H8600,dispersion,te.pho.tsah,Hebrew,1,disp
H0565B,threat,em.rah,Hebrew,1,thre
H1508,cutting/separation,giz.rah,Hebrew,8,cutt
H2911,grinding,te.chon,Hebrew,1,grin
H3283,ostrich,ya.en,Hebrew,1,ostr
H4868,annihilation,mish.bat,Hebrew,1,anni
H5501,offscouring,se.chi,Hebrew,1,offs
H6314,cessation,pu.gat,Hebrew,1,cess
H7815,blackness,she.chor,Hebrew,1,blac
H7900,booth,sokh,Hebrew,1,boot
H0019,slaughter,iv.chah,Hebrew,1,slau
H0253,ah!,ach,Hebrew,3,ah
H0417,hail,el.ga.vish,Hebrew,3,hail
H0657B,soles,o.phes,Hebrew,1,sol
H0741,altar,a.ri.el,Hebrew,7,alta
H0862B,gallery,at.tiq,Hebrew,5,gall
H0872,entrance,bi.ah,Hebrew,1,entr
H0965,lightning,ba.zaq,Hebrew,1,ligh
H1304B,gem,ba.re.qat,Hebrew,1,gem
H1532,barber,gal.lav,Hebrew,1,barb
H1646,eviction,ge.ru.shah,Hebrew,1,evic
H1656,rain,go.shem,Hebrew,1,rain
H1728,fisher,dav.vag,Hebrew,4,fish
H1764,millet,do.chan,Hebrew,1,mill
H1894,ebony,ha.ve.ni,Hebrew,4,ebon
H1903,suitable,ha.gin,Hebrew,1,suit
H1929,alas!,hah,Hebrew,1,ala
H1958,woe,hi,Hebrew,1,woe
H1996,Hamon-gog [Valley],ha.mon gog,Hebrew,4,hamo
H2051,casks,ve.dan,Hebrew,1,cask
H2231,discharge,zir.mah,Hebrew,2,disc
H2289,belted,cha.gor,Hebrew,1,belt
H2457,rust,chel.ah,Hebrew,5,rust
H2830,amber,chash.mal,Hebrew,3,ambe
H2848,bandage,chit.tul,Hebrew,1,band
H2871,turban,te.vul,Hebrew,1,turb
H2915,coating,ti.ach,Hebrew,1,coat
H2978,entrance,i.ton,Hebrew,4,entr
H3095,jasper,ya.ha.lom,Hebrew,3,jasp
H3154,sweat,ye.za,Hebrew,1,swea
H3704,amulet,ke.set,Hebrew,2,amul
H3833B,lioness,le.viy.ya,Hebrew,1,lio
H3997,entry,me.vo.ah,Hebrew,1,entr
H4011,structure,miv.neh,Hebrew,1,stru
H4015,fugitive,miv.rach,Hebrew,4,fugi
H4018,hearth,me.vash.she.lot,Hebrew,1,hear
H4141,surrounding,mu.sav,Hebrew,1,surr
H4239,blow,me.chi,Hebrew,1,blow
H4351,origin,me.kho.rah,Hebrew,3,orig
H4593,sharp,ma.ot,Hebrew,1,shar
H4660,shattering,map.pats,Hebrew,1,shat
H4833,mud,mar.pe.s,Hebrew,1,mud
H4880A,oar,ma.shot,Hebrew,1,oar
H4880B,oar,mish.shot,Hebrew,1,oar
H4946,weight,mish.qol,Hebrew,1,weig
H4950,clarified,mish.qa,Hebrew,1,clar
H5089,eminency,no.ah,Hebrew,1,emin
H5306,emerald,no.phekh,Hebrew,4,emer
H5345,socket,ne.qev,Hebrew,1,sock
H5544,briar,sal.lon,Hebrew,2,bria
H5589,bough,se.ap.pah,Hebrew,2,boug
H5621,thorn,sa.rav,Hebrew,1,thor
H5634,bough,sar.ap.pah,Hebrew,1,boug
H6058,thickly branched,a.neph,Hebrew,1,thic
H6288A,bough,po.rah,Hebrew,9,boug
H6321,bean,pol,Hebrew,2,bean
H6436,cake,pan.nag,Hebrew,1,cake
H6595B,morsel,pa.tot,Hebrew,1,mors
H6610,opening,pit.chon,Hebrew,2,open
H6788,treetop,tsam.me.ret,Hebrew,5,tree
H6824,discharge,tsa.phah,Hebrew,1,disc
H6832,dung,tsa.phi.a,Hebrew,4,dung
H6851,willow,tsaph.tsa.phah,Hebrew,1,will
H6904,battering-ram,qe.vol,Hebrew,1,batt
H6910,gathering,qe.vu.tsah,Hebrew,1,gath
H6930,eastern,qad.mon,Hebrew,1,east
H7070I,branch: measuring rod,qa.neh,Hebrew,6,bran
H7070L,branch: calamus,qa.neh,Hebrew,2,bran
H7083,pot,qe.set,Hebrew,3,pot
H7571,boiling,re.tach,Hebrew,1,boil
H7653,fullness,siv.ah,Hebrew,1,full
H7813,swimming,sa.chu,Hebrew,1,swim
H7824,paneled,sha.chiph,Hebrew,1,pane
H8077B,desolation,shi.me.mah,Hebrew,1,deso
H8240B,hook,she.phat.ta.yim,Hebrew,1,hook
H8498,fitting,te.khu.nah,Hebrew,2,fitt
H8508,proportion,tokh.nit,Hebrew,2,prop
H8565,dragon,tan,Hebrew,1,drag
H8602B,whitewash,ta.phel,Hebrew,5,whit
H8619,trumpet,ta.qo.a,Hebrew,1,trum
H0594,plumbline,a.nakh,Hebrew,4,plum
H0951,herdsman,bo.qer,Hebrew,1,herd
H1462B,locust,go.vay,Hebrew,2,locu
H1729,fishhook,du.gah,Hebrew,1,fish
H2034,ruins,ha.ri.sah,Hebrew,1,ruin
H3531,sieve,ke.va.rah,Hebrew,1,siev
H3954,spring crop,le.qesh,Hebrew,2,spri
H4797,banquet,mir.zach,Hebrew,1,banq
H6793A,hook,tsin.nah,Hebrew,1,hook
H0950,emptiness,bu.qah,Hebrew,1,empt
H1462A,locust,gov,Hebrew,1,locu
H4003,emptiness,me.vu.qah,Hebrew,1,empt
H5526D,protector,so.khekh,Hebrew,1,prot
H6327B,scatterer,me.phits,Hebrew,1,scat
H6375,tottering,piq,Hebrew,1,tott
H6393,iron,pe.la.dah,Hebrew,1,iron
H2253,hiding,chev.yon,Hebrew,1,hid
H3714,rafter,ka.phis,Hebrew,1,raft
H4294I,tribe: arrow,mat.teh,Hebrew,2,trib
H4890,laughing,mis.chaq,Hebrew,1,laug
H5671,debt,av.tit,Hebrew,1,debt
H6518,warrior,pe.rez,Hebrew,4,warr
H7517,stall,re.phet,Hebrew,1,stal
H0731,cedar,ar.zah,Hebrew,1,ceda
H3741,meadow,ka.rah,Hebrew,1,mead
H5187,laden,na.til,Hebrew,1,lade
H4400,message,mal.a.khut,Hebrew,1,mess
H0892,apple,ba.vah,Hebrew,1,appl
H1225,stronghold,bits.tsa.ron,Hebrew,1,stro
H4369,base,me.khu.nah,Hebrew,1,base
H4464,bastard,mam.zer,Hebrew,2,bast
H4698,bell,me.tsil.lah,Hebrew,1,bell
H4699,ravine,me.tsu.lah,Hebrew,1,ravi
H5289,newborn,na.ar,Hebrew,1,newb
H6674,filthy,tso,Hebrew,2,filt
H6804,pipe,tsan.te.rot,Hebrew,1,pipe
H7087B,thickness,qip.pa.on,Hebrew,4,thic
H7222,top,ro.shah,Hebrew,1,top
H7478,reeling,ra.al,Hebrew,1,reel
H8320,sorrel,sa.roq,Hebrew,1,sorr
H6999B,incense,muq.tar,Hebrew,1,ince
