id,passage_id,verse_id,is_anchor,created_at,deleted
54910,37414,22339,1,2026-07-27T05:46:42Z,0
54911,37414,22340,0,2026-07-27T05:46:42Z,0
54912,37414,22341,0,2026-07-27T05:46:42Z,0
54913,37414,12323,0,2026-07-27T05:46:42Z,0
54914,37414,22342,0,2026-07-27T05:46:42Z,0
54915,37414,27911,0,2026-07-27T05:46:42Z,0
54916,37414,22343,0,2026-07-27T05:46:42Z,0
54987,37420,27068,1,2026-07-27T07:15:22Z,0
54988,37420,12324,0,2026-07-27T07:15:22Z,0
54989,37420,19525,0,2026-07-27T07:15:22Z,0
54990,37420,27912,0,2026-07-27T07:15:22Z,0
54991,37420,19526,0,2026-07-27T07:15:22Z,0
54992,37420,892,0,2026-07-27T07:15:22Z,0
54993,37420,12325,0,2026-07-27T07:15:22Z,0
54994,37420,24530,0,2026-07-27T07:15:22Z,0
54995,37420,12326,0,2026-07-27T07:15:22Z,0
54996,37420,28229,0,2026-07-27T07:15:22Z,0
54997,37420,19785,0,2026-07-27T07:15:22Z,0
54998,37420,893,0,2026-07-27T07:15:22Z,0
54999,37420,12327,0,2026-07-27T07:15:22Z,0
55000,37420,28870,0,2026-07-27T07:15:22Z,0
55001,37420,27069,0,2026-07-27T07:15:22Z,0
55002,37420,12328,0,2026-07-27T07:15:22Z,0
55003,37420,12329,0,2026-07-27T07:15:22Z,0
55004,37420,12330,0,2026-07-27T07:15:22Z,0
55005,37420,25817,0,2026-07-27T07:15:22Z,0
55006,37420,12331,0,2026-07-27T07:15:22Z,0
55007,37420,12332,0,2026-07-27T07:15:22Z,0
55008,37421,25974,1,2026-07-27T09:53:37Z,0
55009,37421,27900,0,2026-07-27T09:53:37Z,0
55010,37421,26624,0,2026-07-27T09:53:37Z,0
55011,37421,28621,0,2026-07-27T09:53:37Z,0
55012,37421,20497,0,2026-07-27T09:53:37Z,0
55013,37421,19527,0,2026-07-27T09:53:37Z,0
55014,37421,7180,0,2026-07-27T09:53:37Z,0
55015,37421,12333,0,2026-07-27T09:53:37Z,0
55016,37421,12334,0,2026-07-27T09:53:37Z,0
55017,37421,25818,0,2026-07-27T09:53:37Z,0
55018,37421,28890,0,2026-07-27T09:53:37Z,0
55019,37421,28081,0,2026-07-27T09:53:37Z,0
55020,37421,23903,0,2026-07-27T09:53:37Z,0
55021,37421,12335,0,2026-07-27T09:53:37Z,0
55022,37421,28306,0,2026-07-27T09:53:37Z,0
55023,37421,25782,0,2026-07-27T09:53:37Z,0
55024,37421,18796,0,2026-07-27T09:53:37Z,0
55025,37421,12336,0,2026-07-27T09:53:37Z,0
55026,37421,12337,0,2026-07-27T09:53:37Z,0
55027,37421,28891,0,2026-07-27T09:53:37Z,0
55028,37421,28300,0,2026-07-27T09:53:37Z,0
55029,37421,12338,0,2026-07-27T09:53:37Z,0
55030,37421,18797,0,2026-07-27T09:53:37Z,0
55031,37421,12339,0,2026-07-27T09:53:37Z,0
55032,37421,16627,0,2026-07-27T09:53:37Z,0
55033,37421,28622,0,2026-07-27T09:53:37Z,0
55034,37421,12340,0,2026-07-27T09:53:37Z,0
55035,37421,12341,0,2026-07-27T09:53:37Z,0
55036,37421,18798,0,2026-07-27T09:53:37Z,0
55037,37421,28644,0,2026-07-27T09:53:37Z,0
55038,37421,24564,0,2026-07-27T09:53:37Z,0
55039,37421,12342,0,2026-07-27T09:53:37Z,0
55040,37421,18714,0,2026-07-27T09:53:37Z,0
55041,37421,26076,0,2026-07-27T09:53:37Z,0
