strongNumber,stepGloss,stepTransliteration,language,count
H1124,to build,be.nah,Hebrew,22
H1125,Ben-Abinadab,ben-a.vi.na.dav,Hebrew,2
H1126,Ben-oni,ben-o.ni,Hebrew,2
H1127,Ben-Geber,ben-ge.ver,Hebrew,2
H1129,to build,ba.nah,Hebrew,379
H1130G,Ben-hadad,ben-ha.dad,Hebrew,36
H1130H,Ben-hadad,ben-ha.dad,Hebrew,6
H1130I,Ben-hadad,ben-ha.dad,Hebrew,8
H1131H,Binnui,bin.nuy,Hebrew,1
H1131K,Binnui,bin.nuy,Hebrew,1
H1131L,Binnui,bin.nuy,Hebrew,2
H1133G,Ben-hur,ben-chur,Hebrew,2
H1134,Ben-hail,ben-cha.yil,Hebrew,2
H1137L,Bani,ba.ni,Hebrew,1
H1137M,Bani,ba.ni,Hebrew,4
H1137N,Bani,ba.ni,Hebrew,1
H1137O,Bani,ba.ni,Hebrew,1
H1138G,Bunni,bun.ni,Hebrew,1
H1140,building,bin.yah,Hebrew,1
H1141G,Benaiah,be.na.ya.hu,Hebrew,24
H1141H,Benaiah,be.na.ya.hu,Hebrew,3
H1141J,Benaiah,be.na.ya.hu,Hebrew,5
H1141K,Benaiah,be.na.ya.hu,Hebrew,1
H1141L,Benaiah,be.na.ya.hu,Hebrew,1
H1141M,Benaiah,be.na.ya.hu,Hebrew,1
H1141R,Benaiah,be.na.ya.hu,Hebrew,2
H1142H,[Beeroth] Bene-jaakan,be.ne ya.a.qan,Hebrew,2
H1143,champion,be.na.yim,Hebrew,2
H1144G,Benjamin,bin.ya.min,Hebrew,163
H1144J,Benjamin,bin.ya.min,Hebrew,1
H1144L,Benjamin [Gate],bin.ya.min,Hebrew,3
H1144M,[Gate of] Benjamin,bin.ya.min,Hebrew,1
H1145,Benjaminite,ben-ye.mi.ni,Hebrew,19
H1146,building,bin.yan,Hebrew,7
H1147,building,bin.yan,Hebrew,1
H1149,be angry,be.nas,Hebrew,1
H1151,Ben-ammi,ben-am.mi,Hebrew,2
H1152,Besodeiah,be.so.de.yah,Hebrew,1
H1154,unripe grape,be.ser,Hebrew,1
H1155,unripe grape,bo.ser,Hebrew,4
H1157,about/through/for,ba.ad,Hebrew,105
H1158,to enquire,ba.ah,Hebrew,5
H1159,petition,ba.u,Hebrew,2
H1160G,Beor,be.or,Hebrew,2
H1160H,Beor,be.or,Hebrew,8
H1162G,Boaz,bo.az,Hebrew,23
H1162H,Boaz,bo.az ,Hebrew,1
H1163,to kick,ba.at,Hebrew,2
H1165,cattle,be.ir,Hebrew,9
H1166G,Married,ba.al,Hebrew,1
H1168A,Baal,ba.al,Hebrew,76
H1168H,Baal,ba.al,Hebrew,1
H1169,commander,be.el,Hebrew,3
H1170,Baal-berith,ba.al be.rit,Hebrew,4
H1171,Baal-gad,ba.al gad,Hebrew,6
H1173G,[Mount] Baalah,ba.a.lah,Hebrew,1
H1173I,Baalah,ba.a.lah,Hebrew,4
H1174,Baal-hamon,ba.al ha.mon,Hebrew,2
H1176,Baal-zebub,ba.al ze.vuv,Hebrew,8
H1177G,Baal-hanan,ba.al cha.nan,Hebrew,8
H1177H,Baal-hanan,ba.al cha.nan,Hebrew,2
H1178,Baal-hazor,ba.al cha.tsor,Hebrew,2
H1179,[Mount] Baal-hermon,ba.al cher.mon,Hebrew,4
H1185,Baalis,ba.a.lis,Hebrew,1
H1186,Baal-meon,ba.al me.on,Hebrew,8
H1187,Baal of Peor,ba.al pe.or,Hebrew,12
H1188,Baal-perazim,ba.al pe.ra.tsim,Hebrew,8
H1189,Baal-zephon,ba.al tse.phon,Hebrew,6
H1190,Baal-shalishah,ba.al sha.li.shah,Hebrew,2
H1191H,Baalath,ba.a.lat,Hebrew,2
H1192,Baalath-beer,ba.a.lat be.er,Hebrew,2
H1193,Baal-tamar,ba.al ta.mar,Hebrew,2
H1195G,Baana,ba.a.na,Hebrew,1
H1195I,Baana,ba.a.na,Hebrew,1
H1196G,Baanah,ba.a.nah,Hebrew,4
H1196I,Baanah,ba.a.nah,Hebrew,2
H1197A,to burn: burn,ba.ar,Hebrew,65
H1197B,be brutish,ba.ar,Hebrew,9
H1197H,to burn: destroy,ba.ar,Hebrew,4
H1197I,to burn: purge,ba.ar,Hebrew,16
H1199,Baara,ba.a.ra,Hebrew,1
H1200,fire,be.e.rah,Hebrew,1
H1201,Baasha,ba.sha,Hebrew,28
H1203,Beeshterah,be.esh.te.rah,Hebrew,1
H1204,to terrify,ba.at,Hebrew,16
H1206,mire,bots,Hebrew,1
H1207,swamp,bits.tsah,Hebrew,6
H1210,vintage,ba.tsir,Hebrew,8
H1211,onion,ba.tsal,Hebrew,1
H1212G,Bezalel,be.tsal.el,Hebrew,8
H1214G,to cut off,ba.tsa,Hebrew,4
H1214H,to cut off: to end,ba.tsa,Hebrew,3
H1215,unjust-gain,be.tsa,Hebrew,23
H1216,to swell,ba.tseq,Hebrew,2
H1217,dough,ba.tseq,Hebrew,5
H1218,Bozkath,bots.qat,Hebrew,2
H1219,to gather/restrain/fortify,ba.tsar,Hebrew,37
H1220,gold,be.tser,Hebrew,2
H1221G,Bezer,be.tser,Hebrew,4
H1223,enclosure,bots.rah,Hebrew,1
H1224G,Bozrah,bots.rah,Hebrew,7
H1224H,Bozrah,bots.rah,Hebrew,1
H1225,stronghold,bits.tsa.ron,Hebrew,1
H1226,drought,bats.tso.ret,Hebrew,2
H1228,flask,baq.buq,Hebrew,3
H1229,Bakbukiah,baq.buq.yah,Hebrew,3
H1233,breach,be.qi.a,Hebrew,2
H1234,to break up/open,ba.qa,Hebrew,51
H1235,bekah,be.qa,Hebrew,2
H1236,plain,biq.a,Hebrew,1
H1237G,Valley [of Jericho],biq.ah,Hebrew,1
H1237H,[Mizpah] Valley,biq.ah,Hebrew,1
H1237I,[Lebanon] Valley,biq.ah,Hebrew,2
H1237J,[Aven] Valley,biq.ah,Hebrew,1
H1237K,valley,biq.ah,Hebrew,15
H1238A,be luxuriant,ba.qaq,Hebrew,1
H1238B,to empty,ba.qaq,Hebrew,8
H1239,to enquire,ba.qar,Hebrew,7
H1240,to enquire,be.qar,Hebrew,5
H1241,cattle,ba.qar,Hebrew,183
H1242,morning,bo.qer,Hebrew,214
H1243,seeking,baq.qa.rah,Hebrew,1
H1244,scourging,biq.qo.ret,Hebrew,1
H1246,request,baq.qa.shah,Hebrew,8
H1247G,son: descendant/people,bar,Hebrew,8
H1247I,son: type of,bar,Hebrew,8
H1247J,son: son,bar,Hebrew,8
H1250A,grain,bar,Hebrew,13
H1250B,field,bar,Hebrew,1
H1251,field,bar,Hebrew,8
H1253,lye,bor,Hebrew,2
H1254A,to create,ba.ra,Hebrew,54
H1254B,to fatten,ba.ra,Hebrew,2
H1255,Merodach-baladan,be.ro.dakh bal.a.dan,Hebrew,2
H1258,to hail,ba.rad,Hebrew,1
H1259,hail,ba.rad,Hebrew,29
H1260G,Bered,be.red,Hebrew,1
H1261,spotted,ba.rod,Hebrew,4
H1262,to eat,ba.rah,Hebrew,6
H1263G,Baruch,ba.rukh,Hebrew,1
H1263J,Baruch,ba.rukh,Hebrew,23
H1265,cypress,be.rosh,Hebrew,20
H1267,food,ba.rut,Hebrew,1
H1268B,Berothai,be.ro.tay,Hebrew,1
H1270,iron,bar.zel,Hebrew,76
H1271G,Barzillai,bar.zil.lay,Hebrew,7
H1271H,Barzillai,bar.zil.lay,Hebrew,1
H1271I,Barzillai,bar.zil.lay,Hebrew,4
H1272,to flee,ba.rach,Hebrew,65
H1274,fat,bir.yah,Hebrew,1
H1276,Bichrites,be.rim,Hebrew,1
H1277,fat,ba.ri,Hebrew,13
H1278,creation,be.ri.ah,Hebrew,1
H1279,food,bir.yah,Hebrew,3
H1280,bar,be.ri.ach,Hebrew,45
H1281,fleeing,ba.ri.ach,Hebrew,4
H1283H,Beriah,be.ri.ah,Hebrew,1
H1283I,Beriah,be.ri.ah,Hebrew,2
H1283J,Beriah,be.ri.ah,Hebrew,2
H1287,lye,bo.rit,Hebrew,2
H1289,to bless,be.rakh,Hebrew,5
H1290,knee,be.rekh,Hebrew,28
H1291,knee,be.rakh,Hebrew,1
H1292,Barachel,ba.rakh.el,Hebrew,2
H1294H,Beracah [Valley],be.ra.khah,Hebrew,2
H1295G,[Shelah] Pool,be.re.khah,Hebrew,1
H1295H,pool,be.re.khah,Hebrew,16
H1296H,Berechiah,be.rekh.yah,Hebrew,3
H1296I,Berechiah,be.rekh.yah,Hebrew,1
H1296J,Berechiah,be.rekh.yah,Hebrew,1
H1296K,Berechiah,be.rekh.yah,Hebrew,3
H1296L,Berechiah,be.rekh.yah,Hebrew,2
H1297,nevertheless,be.ram,Hebrew,5
H1298,Bera,be.ra,Hebrew,1
H1299,to flash,ba.raq,Hebrew,1
H1300B,lightning,ba.raq,Hebrew,21
H1301,Barak,ba.raq,Hebrew,13
H1303,briar,bar.qa.nim,Hebrew,2
H1304A,gem,ba.re.qet,Hebrew,2
H1304B,gem,ba.re.qat,Hebrew,1
H1306,Birsha,bir.sha,Hebrew,1
H1308,Besor,be.s.vor,Hebrew,3
H1309,good news,be.so.rah,Hebrew,6
H1310,to boil,ba.shal,Hebrew,28
H1311,cooked,ba.shel,Hebrew,2
H1312,Bishlam,bish.lam,Hebrew,1
H1313,spice,bo.sem,Hebrew,1
H1314,spice,be.sem,Hebrew,29
H1315H,Basemath,ba.se.mat,Hebrew,1
H1315I,Basemath,ba.se.mat,Hebrew,5
H1316,Bashan,ba.shan,Hebrew,60
H1318,to trample,ba.shas,Hebrew,1
H1319,to bear tidings,ba.sar,Hebrew,24
H1323G,daughter,bat,Hebrew,547
H1323H,daughter: village,bat,Hebrew,45
H1323I,Bath [Shua],bat,Hebrew,1
H1324,bath,bat,Hebrew,13
H1325,bath,bat,Hebrew,2
H1326,waste,ba.tah,Hebrew,1
H1327,precipice,bat.tah,Hebrew,1
H1328A,Bethuel,be.tu.el,Hebrew,9
H1330,virgin,be.tu.lah,Hebrew,50
H1331,virginity,be.tu.lim,Hebrew,10
H1332,Bithiah,bit.yah,Hebrew,1
H1333,to cut up,ba.taq,Hebrew,1
H1334,to cut up,ba.tar,Hebrew,2
H1335,part,be.ter,Hebrew,3
H1336,cleft,be.ter,Hebrew,1
H1337,Bath-rabbim,bat-rab.bim,Hebrew,2
H1338,Bithron,bit.ron,Hebrew,1
H1339,Bathsheba,bat-she.va,Hebrew,22
H1350A,to redeem: redeem,ga.al,Hebrew,91
H1350B,redemption,ge.u.lay,Hebrew,1
H1350H,to redeem: avenge,ga.al,Hebrew,13
H1350I,to redeem: relative,ga.al,Hebrew,2
H1351,to defile,ga.al,Hebrew,11
H1352,defilement,go.el,Hebrew,1
H1353,redemption,ge.ul.lah,Hebrew,14
H1354,back/rim/brow,gav,Hebrew,13
H1356A,cistern,gev,Hebrew,3
H1357,locust,gev,Hebrew,1
H1359,Gob,gov,Hebrew,2
H1360,cistern,ge.ve,Hebrew,2
H1366G,border: boundary,ge.vul,Hebrew,153
H1366H,border: area,ge.vul,Hebrew,91
H1367,border,ge.vu.lah,Hebrew,10
H1371,bald,gib.be.ach,Hebrew,1
H1372,baldness,gab.ba.chat,Hebrew,4
H1374,Gebim,ge.vim,Hebrew,1
H1375,cup,ga.vi.a,Hebrew,14
H1378,crystal,ga.vish,Hebrew,1
H1379,to border,ga.val,Hebrew,5
H1380,Gebal,ge.val,Hebrew,1
H1381,Gebal,ge.val,Hebrew,1
H1382,Gebalite,giv.li,Hebrew,2
H1383,twists,gav.lut,Hebrew,2
H1384,humpbacked,gib.ben,Hebrew,1
H1386,peak,gav.non,Hebrew,2
H1387G,Geba,ge.va,Hebrew,16
H1387H,Gibeah,ge.va,Hebrew,1
H1387I,Geba,ge.va,Hebrew,1
H1387J,[Maareh]-geba,ge.va,Hebrew,1
H1389H,Gibeath-[haaraloth],giv.ah,Hebrew,1
H1389I,hill,giv.ah,Hebrew,67
H1390G,Gibeah,giv.ah,Hebrew,2
H1390H,Gibeah,giv.ah,Hebrew,43
H1391,Gibeon,giv.on,Hebrew,38
H1393,Gibeonite,giv.o.ni,Hebrew,8
H1399,great man,ge.ver,Hebrew,0
H1400,man,ge.var,Hebrew,21
H1401,mighty,gib.bar,Hebrew,1
H1403,Gabriel,gav.ri.el,Hebrew,2
H1405,Gibbethon,gib.be.ton,Hebrew,6
H1406,roof,gag,Hebrew,33
H1407,coriander,gad,Hebrew,2
H1408,Fortune,gad,Hebrew,1
H1409,fortune,gad,Hebrew,4
H1410G,Gad,gad,Hebrew,57
H1410H,Gad,gad,Hebrew,13
H1411,treasurer,ge.da.ve.ray.ya,Hebrew,2
H1413,to attack,ga.dad,Hebrew,8
H1414,to chop,ge.dad,Hebrew,2
H1415,bank,ga.dah,Hebrew,4
H1416,band,ge.dud,Hebrew,33
H1417,furrow,ge.dud,Hebrew,2
H1419A,great: large,ga.dol,Hebrew,501
H1419B,Haggedolim,ga.dol,Hebrew,1
H1421,reviling,gid.du.phim,Hebrew,3
H1422,taunt,ge.du.phah,Hebrew,1
H1423,kid,ge.di,Hebrew,16
H1424,Gadi,ga.di,Hebrew,2
H1425,Gad,ga.di,Hebrew,16
H1429,kid,ge.diy.yah,Hebrew,1
H1430A,stack,ga.dish,Hebrew,3
H1430B,tomb,ga.dish,Hebrew,1
H1436A,Gedaliah,ge.dal.yah,Hebrew,1
H1436B,Gedaliah,ge.dal.ya.hu,Hebrew,24
H1436G,Gedaliah,ge.dal.yah,Hebrew,3
H1436H,Gedaliah,ge.dal.yah,Hebrew,1
H1436I,Gedaliah,ge.dal.ya.hu,Hebrew,2
H1436J,Gedaliah,ge.dal.ya.hu,Hebrew,1
H1438,to cut down/off,ga.da,Hebrew,22
H1439,Gideon,gid.on,Hebrew,39
H1440,Gidom,gid.om,Hebrew,1
H1441,Gideoni,gid.o.ni,Hebrew,5
H1442,to blaspheme,ga.daph,Hebrew,7
H1443,to wall up/off,ga.dar,Hebrew,10
H1444,wall,ge.der,Hebrew,2
H1446H,Gedor,ge.dor,Hebrew,1
H1447,wall,ga.der,Hebrew,12
H1448,wall,ge.de.rah,Hebrew,9
H1449,Gederah,ge.de.rah,Hebrew,2
H1450,Gederoth,ge.de.rot,Hebrew,2
H1451,Gederite,ge.de.ri,Hebrew,1
H1452,Gederathite,ge.de.ra.ti,Hebrew,1
H1455,to cure,ga.hah,Hebrew,1
H1456,cure,ge.hah,Hebrew,1
H1457,to bend [down],ga.har,Hebrew,3
H1458,the back,gav,Hebrew,3
H1459,midst,gav,Hebrew,13
H1460A,back,gev,Hebrew,6
H1460B,midst,gev,Hebrew,1
H1462A,locust,gov,Hebrew,1
H1462B,locust,go.vay,Hebrew,2
H1463H,Gog,gog,Hebrew,9
H1464,to raid,gud,Hebrew,3
H1465,back,ge.vah,Hebrew,1
H1468,to cut off,guz,Hebrew,2
H1469,young bird,go.zal,Hebrew,2
H1470,Gozan,go.zan,Hebrew,5
H1471A,nation,goy,Hebrew,572
H1471B,Goiim,go.yim,Hebrew,3
H1471G,Gentile,goy,Hebrew,1
H1471H,[Harosheth]-hagoyim,goy,Hebrew,3
H1472,body,ge.viy.yah,Hebrew,13
H1473,captivity,go.lah,Hebrew,43
H1474,Golan,go.lan,Hebrew,10
H1475,pit,gum.mats,Hebrew,1
H1478,to die,ga.va,Hebrew,24
H1479,to shut,guph,Hebrew,1
H1480,body,gu.phah,Hebrew,2
H1481A,to sojourn,gur,Hebrew,82
H1481B,to quarrel,gur,Hebrew,7
H1483,Gur,gur,Hebrew,1
H1484,whelp,gor,Hebrew,2
H1485,Gurbaal,gur-ba.al,Hebrew,2
H1486,allotted,go.ral,Hebrew,78
H1487,clod,gush,Hebrew,4
H1488,fleece,gez,Hebrew,4
H1489,treasurer,giz.bar,Hebrew,1
H1490,treasurer,giz.bar,Hebrew,1
H1491,to cut,ga.zah,Hebrew,1
H1492,fleece,giz.zah,Hebrew,7
H1494,to shear,ga.zaz,Hebrew,15
H1496,cutting,ga.zit,Hebrew,11
H1497,to plunder,ga.zal,Hebrew,30
H1498,robbery,ga.zel,Hebrew,6
H1500,violence,ge.ze.lah,Hebrew,6
H1501,locust,ga.zam,Hebrew,3
H1503,stock,ge.za,Hebrew,3
H1504,to cut,ga.zar,Hebrew,13
H1505,to determine,ge.zar,Hebrew,6
H1506,piece,ge.zer,Hebrew,2
H1507,Gezer,ge.zer,Hebrew,15
H1508,cutting/separation,giz.rah,Hebrew,8
H1509,isolation,ge.ze.rah,Hebrew,1
H1510,decree,ge.ze.rah,Hebrew,2
H1511,Girzite,giz.ri,Hebrew,4
H1512,belly,ga.chon,Hebrew,2
H1513,coal,ga.che.let,Hebrew,18
H1514,Gaham,ga.cham,Hebrew,1
H1516G,Valley,gay,Hebrew,2
H1516H,[Iphtahel] Valley,gay,Hebrew,2
H1516I,[Zeboim] Valley,gay,Hebrew,1
H1516J,[Salt] Valley,gay,Hebrew,5
H1516K,Ge,gay,Hebrew,2
H1516L,[Zephathah] Valley,gay,Hebrew,1
H1516M,Valley [Gate],gay,Hebrew,4
H1516N,[Hamon-gog] Valley,gay,Hebrew,2
H1516O,Valley,gay,Hebrew,1
H1516P,Gath,gay,Hebrew,1
H1516Q,Valley,gay,Hebrew,8
H1516R,valley,gay,Hebrew,36
H1516S,Valley,gay,Hebrew,1
H1517,sinew,gid,Hebrew,7
H1520,Giah,gi.ach,Hebrew,1
H1521,Gihon,gi.chon,Hebrew,6
H1522,Gehazi,ge.cha.zi,Hebrew,12
H1526,Gilonite,gi.lo.ni,Hebrew,2
H1527,Ginath,gi.nat,Hebrew,2
H1528,plaster,gir,Hebrew,1
H1530G,heap,gal,Hebrew,18
H1530H,heap: wave,gal,Hebrew,16
H1532,barber,gal.lav,Hebrew,1
H1533G,Gilboa,gil.bo.a,Hebrew,3
H1533H,[Mount] Gilboa,gil.bo.a,Hebrew,5
H1534,wheel,gal.gal,Hebrew,11
H1535,wheel,gal.gal,Hebrew,1
H1537G,Gilgal,gil.gal,Hebrew,38
H1537H,Gilgal,gil.gal,Hebrew,2
H1537I,Galilee,gil.gal,Hebrew,1
H1538,head,gul.go.let,Hebrew,12
H1539,skin,ge.led,Hebrew,1
H1540H,to reveal: reveal,ga.lah,Hebrew,43
H1540I,to reveal: uncover,ga.lah,Hebrew,66
H1540J,to reveal: proclaim,ga.lah,Hebrew,2
H1540K,to reveal: remove,ga.lah,Hebrew,74
H1541,to reveal,ge.la,Hebrew,9
H1542,Giloh,gi.loh,Hebrew,2
H1543,bowl,gul.lah,Hebrew,15
H1544,idol,gil.lul,Hebrew,48
H1546,captivity,ga.lut,Hebrew,15
H1547,captivity,ga.lu,Hebrew,4
H1548,to shave,ga.lach,Hebrew,23
H1549,tablet,gil.la.von,Hebrew,2
H1550B,circuit,ga.lil,Hebrew,2
H1551,Galilee,ga.lil,Hebrew,6
H1552,border,ge.li.lah,Hebrew,5
H1554,Gallim,gal.lim,Hebrew,2
H1555,Goliath,gol.yat,Hebrew,6
H1556,to roll,ga.lal,Hebrew,18
H1557,dung,ga.lal,Hebrew,2
H1558,because of,ga.lal,Hebrew,10
H1559H,Galal,ga.lal,Hebrew,2
H1560,great,ge.lal,Hebrew,2
H1561,dung,gel,Hebrew,3
H1563,to fold,ga.lam,Hebrew,1
H1564,embryo,go.lem,Hebrew,1
H1565,solitary,gal.mud,Hebrew,4
H1566,to quarrel,ga.la,Hebrew,3
H1567,Galeed,gal.ed,Hebrew,1
H1568G,Gilead,gil.ad,Hebrew,90
H1568H,Gilead,gil.ad,Hebrew,10
H1568I,Gilead,gil.ad,Hebrew,2
H1568K,[Mount] Gilead,gil.ad,Hebrew,1
H1568L,[Jabesh]-gilead,gil.ad,Hebrew,12
H1568M,[Ramoth]-gilead,gil.ad,Hebrew,19
H1569,Gileadite,gil.a.di,Hebrew,11
H1570,to step down,ga.lash,Hebrew,2
H1572,to swallow,ga.ma,Hebrew,2
H1573,reed,go.me,Hebrew,4
H1574,short cubit,go.med,Hebrew,1
H1575,Gamaddim,gam.ma.dim,Hebrew,1
H1576,recompense,ge.mul,Hebrew,19
H1578,recompense,ge.mu.lah,Hebrew,3
H1579,Gimzo,gim.zo,Hebrew,1
H1580,to wean,ga.mal,Hebrew,37
H1581,camel,ga.mal,Hebrew,54
H1583,Gamaliel,gam.li.el,Hebrew,5
